"id","sortNumber","publicAccess","objectNumber","area","areaTC","category","categoryTC","archivalLevel","archivalLevelTC","title","titleTC","displayDate","displayDateTC","beginDate","endDate","dimension","dimensionTC","dimensionElement","dimensionUnit","dimensionWidth","dimensionHeight","dimensionDepth","medium","mediumTC","creditLine","creditLineTC","constituents","constituentsRole","constituentsRoleTC","images","colorPredominant","color-red","color-gray","color-blue","color-black","color-teal","color-brown","color-orange","color-white","color-green","color-yellow","color-pink","color-purple","ArtistGroupsAndMovementsTitle","ArtistGroupsAndMovementsTitleTC","ArtistGroupsAndMovementsDescription","ArtistGroupsAndMovementsDescriptionTC","ArtistGroupsAndMovementsTimeline","ArtistGroupsAndMovementsBeginDate","ArtistGroupsAndMovementsEndDate","ArtistGroupsAndMovementsDisplayDate","ArtistGroupsAndMovementsPublicAccess"
2075,"2012   790",true,"2012.790","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Liberating","解放","1996","1996",1996,1996,"overall: 145.9 × 113.5 cm","整體︰145.9 × 113.5 厘米","overall","cm",113.5,145.9,,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[370]","[""Artist""]","[""藝術家""]","[""Oil painting on canvas rendered primarily in purple and yellow tones. The row of women in the centre are portrayed in a stylised manner. Dressed in samfu, they look towards the viewer's right. In the upper half, a woman in a purple rhombus holds a bottle close to her face.""]","[{""color"":""#9D710C"",""value"":34.7},{""color"":""#B68510"",""value"":18.1},{""color"":""#573A7F"",""value"":9.5},{""color"":""#714988"",""value"":6.2},{""color"":""#BC4368"",""value"":4.5},{""color"":""#7C4B30"",""value"":3.9},{""color"":""#C07349"",""value"":3.5},{""color"":""#88474B"",""value"":2.9},{""color"":""#31975D"",""value"":2.3},{""color"":""#8A884D"",""value"":1.5},{""color"":""#87894E"",""value"":1.5},{""color"":""#937036"",""value"":1.4},{""color"":""#B6823A"",""value"":1.2},{""color"":""#7F4385"",""value"":1},{""color"":""#2D0945"",""value"":0.9},{""color"":""#84476E"",""value"":0.9},{""color"":""#A58FB8"",""value"":0.8},{""color"":""#8B460F"",""value"":0.8}]",7.4,0,14.3,0,1.7,47.2,19.2,0,2.3,0,4.7,19.3,,,,,,,,,
2076,"2012   791",true,"2012.791","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Canal","渠","1996","1996",1996,1996,"overall: 145.5 × 113.7 cm","整體︰145.5 × 113.7 厘米","overall","cm",113.7,145.5,,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[370]","[""Artist""]","[""藝術家""]","[""Oil painting on canvas depicting a row of soft drink bottles in the centre. In the upper half, each square of a grid contains Chinese characters that refer to or play on the Chinese term for Coca-Cola  Two figures in samfu dance against a floral background in the bottom half.""]","[{""color"":""#744A92"",""value"":16.1},{""color"":""#953411"",""value"":16},{""color"":""#951221"",""value"":7.5},{""color"":""#9B3485"",""value"":7.3},{""color"":""#823640"",""value"":7},{""color"":""#B85A3E"",""value"":6.7},{""color"":""#794229"",""value"":5.6},{""color"":""#9882B4"",""value"":3.7},{""color"":""#2C8E56"",""value"":3.6},{""color"":""#D2A655"",""value"":3.2},{""color"":""#B54843"",""value"":2.9},{""color"":""#A58EB8"",""value"":2.5},{""color"":""#AE4724"",""value"":2.3},{""color"":""#725692"",""value"":1.9},{""color"":""#320E4E"",""value"":1.9},{""color"":""#9B80B1"",""value"":1.8},{""color"":""#229056"",""value"":1.7},{""color"":""#421C1B"",""value"":1.5},{""color"":""#AC2725"",""value"":1.5},{""color"":""#973A89"",""value"":1.2}]",45.4,0,27.5,0,3.9,5.6,3.2,0,5.2,0,0,36.6,,,,,,,,,
2077,"2012   722",true,"2012.722","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Untitled","無題","1995","1995",1995,1995,"overall: 100 × 100.3 cm","整體︰100 × 100.3 厘米","overall","cm",100.3,100,,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[338]","[""Artist""]","[""藝術家""]","[""Oil painting on canvas depicting a man in a room with pale blue walls, looking at a painting. The painting shows the same figure in a similar room with powder blue walls, looking at another painting.""]","[{""color"":""#6F6B67"",""value"":35.1},{""color"":""#85878E"",""value"":22.8},{""color"":""#9BABB0"",""value"":12.5},{""color"":""#303135"",""value"":11.9},{""color"":""#92979A"",""value"":7.2},{""color"":""#34302F"",""value"":2.8},{""color"":""#AAABAD"",""value"":1.8},{""color"":""#B0B2B1"",""value"":1.1}]",0,80.5,4.7,14.6,0,0,0,0,0,0,0,0.7,,,,,,,,,
2078,"2012  1206",true,"2012.1206","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"The Good and the Bad","好和壞","1995","1995",1995,1995,"frame: 157 × 187 × 4.4 cm; overall: 149.5 × 179.5 × 2.3 cm","連框︰157 × 187 × 4.4 厘米; 整體︰149.5 × 179.5 × 2.3 厘米","frame","cm",187,157,4.4,"oil, burnt paper and mixed media on canvas","油彩焦紙及混合媒材布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[517]","[""Artist""]","[""藝術家""]","[""Oil, burnt paper, and mixed media painting on canvas depicting a silhouette of two figures, rendered in dark grey with flecks of brown. The figure on our left holds a gun to the head of the figure on our right. Numerous pieces of burnt paper form the background.""]","[{""color"":""#312D2D"",""value"":45.6},{""color"":""#CCC6C0"",""value"":38.1},{""color"":""#302D2F"",""value"":4},{""color"":""#978982"",""value"":3.4},{""color"":""#D8D8D5"",""value"":2.1},{""color"":""#43362D"",""value"":1.3},{""color"":""#C8C8CB"",""value"":1.2}]",0,42.8,0,50.9,0,0,0,2.1,0,0,0,0,,,,,,,,,
2080,"2012  1186",true,"2012.1186","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Imitation of ""History cannot be altered""","仿《歷史不容篡改》","1996","1996",1996,1996,"overall: 161.7 × 130 × 3.4 cm","整體︰161.7 × 130 × 3.4 厘米","overall","cm",130,161.7,3.4,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[513]","[""Artist""]","[""藝術家""]","[""Oil painting on canvas. Rendered with a soft focus, a man in blue stands at the front of a room pointing at a whiteboard, or perhaps a blank canvas.""]","[{""color"":""#BEAF99"",""value"":22.6},{""color"":""#72412F"",""value"":22.5},{""color"":""#2A2424"",""value"":15.4},{""color"":""#3F2B24"",""value"":15},{""color"":""#9A8A7C"",""value"":7.4},{""color"":""#BCA786"",""value"":4.9},{""color"":""#222021"",""value"":3},{""color"":""#998366"",""value"":2.4},{""color"":""#693026"",""value"":2.3}]",24.9,7.4,2.7,33.3,0,2.4,27.6,0,0,0,0,0,,,,,,,,,
2081,"2012  1346",true,"2012.1346","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Lion King","獅子王","1995","1995",1995,1995,"overall: 144.9 × 165 cm","整體︰144.9 × 165 厘米","overall","cm",165,144.9,,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[572]","[""Artist""]","[""藝術家""]","[""Oil painting on canvas depicting a figure in a samfu blouse. With her right leg forward and arms apart, she appears to lift the end of a scarf attached to her waist. A smiling lion resembling Simba from Disney's 'The Lion King' sits behind her on the viewer's left. Mountains, and grasslands form the backdrop.""]","[{""color"":""#C18366"",""value"":12.8},{""color"":""#7F4A38"",""value"":12.3},{""color"":""#8A4F47"",""value"":10.5},{""color"":""#C28513"",""value"":9.2},{""color"":""#D7B574"",""value"":9.2},{""color"":""#C85C60"",""value"":9.1},{""color"":""#7E99C2"",""value"":8.9},{""color"":""#963F16"",""value"":4.7},{""color"":""#756E25"",""value"":4.1},{""color"":""#6F6A16"",""value"":4},{""color"":""#B5511F"",""value"":3.4},{""color"":""#949B36"",""value"":3.2},{""color"":""#816E6C"",""value"":2.6},{""color"":""#CCBCAB"",""value"":1.9}]",35.2,4.5,0,0,8.9,12.8,31.2,0,0,3.2,0,0,,,,,,,,,
2082,"2012    48",true,"2012.48","[""Visual Art""]","[""視覺藝術""]","[""Sculpture""]","[""雕塑""]",,,"Table with Two Legs on the Wall","兩條腿在牆上的桌子","1997","1997",1997,1997,"overall: 121.3 × 88 × 107.5 cm","整體︰121.3 × 88 × 107.5 厘米","overall","cm",88,121.3,107.5,"wood","木","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[97]","[""Artist""]","[""藝術家""]","[""Sculpture. A common wooden rectangular table standing with two legs on the floor and two legs on the wall, parallel to the floor, leaving the tabletop with a 90 degree angle.""]","[{""color"":""#BBB9B6"",""value"":52.5},{""color"":""#7C5B3F"",""value"":14.9},{""color"":""#D4D2D4"",""value"":10.7},{""color"":""#866541"",""value"":5.2},{""color"":""#9F9B96"",""value"":5.1},{""color"":""#C4C4C2"",""value"":4.5},{""color"":""#D4D3D5"",""value"":3.6}]",16.4,62.1,1.4,6.8,17.5,20.1,0,14.4,0,0,0,0,,,,,,,,,
2083,"2012    95",true,"2012.95","[""Visual Art""]","[""視覺藝術""]","[""Textile""]","[""紡織品""]",,,"Got Money","賺錢了","2000","2000",2000,2000,"overall: 200 × 160 cm","整體︰200 × 160 厘米","overall","cm",160,200,,"embroidery on cotton","刺繡棉布","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[120]","[""Artist""]","[""藝術家""]","[""Embroidery on cotton depicting three people with coloured rays emanating from them. A woman holding a Pomeranian is on the left, seated beside a man with a microphone. A man stands behind them.""]","[{""color"":""#CC977B"",""value"":20.6},{""color"":""#C76B6F"",""value"":17},{""color"":""#CCB7AE"",""value"":12.2},{""color"":""#668C57"",""value"":8.2},{""color"":""#CDCDD5"",""value"":5.6},{""color"":""#81397E"",""value"":5.1},{""color"":""#889E81"",""value"":4},{""color"":""#BC1D37"",""value"":3},{""color"":""#023482"",""value"":2.6},{""color"":""#D6B26C"",""value"":2},{""color"":""#A0B299"",""value"":1.9},{""color"":""#A10C32"",""value"":1.6},{""color"":""#B76DB4"",""value"":1.6},{""color"":""#165FBC"",""value"":1.4},{""color"":""#B8C6D2"",""value"":1.1},{""color"":""#D4CCD2"",""value"":1.1},{""color"":""#294923"",""value"":1},{""color"":""#79347B"",""value"":1},{""color"":""#8B7F7D"",""value"":0.9},{""color"":""#242124"",""value"":0.7},{""color"":""#272322"",""value"":0.7},{""color"":""#CFD2AE"",""value"":0.6},{""color"":""#BABF76"",""value"":0.6},{""color"":""#9B4D4F"",""value"":0.5}]",22.3,14.2,4.1,1.4,3.7,0,22.6,6.7,15.1,1.1,14.8,7.7,,,,,,,,,
2084,"2012  1319",true,"2012.1319","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Sunrise","火紅的年代","1999","1999",1999,1999,"overall: 199.5 × 279.5 × 2.5 cm","整體︰199.5 × 279.5 × 2.5 厘米","overall","cm",279.5,199.5,2.5,"acrylic on canvas","塑膠彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[565]","[""Artist""]","[""藝術家""]","[""Acrylic painting on canvas. A large yellow sun rises over a sea of red squares, behind a mountain of pink, beaming faces.""]","[{""color"":""#D8B0C8"",""value"":24},{""color"":""#DDB69A"",""value"":22.2},{""color"":""#E7CEBC"",""value"":22},{""color"":""#D091B2"",""value"":13.7},{""color"":""#CB7DA1"",""value"":5.9},{""color"":""#373339"",""value"":3.7},{""color"":""#7E526D"",""value"":3},{""color"":""#951848"",""value"":2.2}]",2.2,0,0,3.7,0,0,44.2,0,0,0,43.7,3,,,,,,,,,
2085,"2012  1055",true,"2012.1055","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Summary","總結","2000","2000",2000,2000,"overall (approx.): 214 × 496.4 cm","整體 （約）︰214 × 496.4 厘米","overall","cm",496.4,214,,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[463]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#F8A52D"",""value"":14.5},{""color"":""#3834F2"",""value"":14},{""color"":""#DBEAF0"",""value"":13.4},{""color"":""#FD5DD3"",""value"":11.8},{""color"":""#EBD3D0"",""value"":8},{""color"":""#000000"",""value"":6.1},{""color"":""#02051E"",""value"":5.4},{""color"":""#E67D7D"",""value"":4.8},{""color"":""#E9F3EF"",""value"":3.4},{""color"":""#BDCCE4"",""value"":3.4},{""color"":""#4A4BE8"",""value"":1.7},{""color"":""#FAB548"",""value"":1.7},{""color"":""#435077"",""value"":1.3},{""color"":""#E72D2B"",""value"":1.2},{""color"":""#874E54"",""value"":1.1},{""color"":""#1E2241"",""value"":0.9},{""color"":""#E4A38A"",""value"":0.8},{""color"":""#D1B9CA"",""value"":0.7},{""color"":""#270204"",""value"":0.6},{""color"":""#7D758F"",""value"":0.5}]",7.7,0,23.3,6.1,3.4,0,17,24.8,0,0,12.5,0.5,,,,,,,,,
