"id","publicAccess","name","nameTC","alphaSortName","alphaSortNameTC","type","roles","displayBio","displayBioTC","gender","genderTC","beginDate","endDate","nationality","nationalityTC"
51,true,"nendo","nendo","nendo","nendo","Organization","[""Designer"",""Artist"",""Design Firm""]","established Tokyo, 2002","2002年成立於東京","Not Applicable","Not Applicable",2002,,"Japanese","日本籍"
52,true,"OMA","OMA","OMA","OMA","Organization","[""Artist""]","established Rotterdam, 1975","1975年成立於鹿特丹","Not Applicable","Not Applicable",1975,,"Dutch","荷蘭籍"
54,true,"Palmer & Turner (P&T Group)","巴馬丹拿集團","Palmer & Turner (P&T Group)","巴馬丹拿集團","Organization","[""Architectural Firm"",""建築師事務所""]","established Hong Kong, 1868","1868年成立於香港","Not Applicable","Not Applicable",1868,,"Hong Kong","香港"
56,true,"PINWU","品物流形","PINWU","品物流形","Organization","[""Designer"",""Manufacturer""]","established Hangzhou, 2010","2010年成立於杭州","Not Applicable","Not Applicable",2010,,"Chinese","中國籍"
60,true,"Rocco Design Architects Ltd.","許李嚴建築師事務有限公司","Rocco Design Architects Ltd.","許李嚴建築師事務有限公司","Organization","[""Architectural Firm"",""建築師事務所""]","established Hong Kong, 1982","1982年成立於香港","Not Applicable","Not Applicable",1982,,"Hong Kong","香港"
63,true,"Simon Kwan & Associates Limited","關善明建築師事務所","Simon Kwan & Associates Limited","關善明建築師事務所","Organization","[""Architectural Firm"",""Archive Creator"",""建檔者"",""建築師事務所""]","established Hong Kong, 1973","1973年成立於香港","Not Applicable","Not Applicable",1973,,"Hong Kong","香港"
66,true,"Sou Fujimoto Architects","藤本壯介建築設計事務所","Sou Fujimoto Architects","藤本壯介建築設計事務所","Organization","[""Architectural Firm""]","established Tokyo, 2000","2000年成立於東京","Not Applicable","Not Applicable",2000,,"Japanese","日本籍"
68,true,"Star Industrial Co., Ltd.","星光實業有限公司","Star Industrial Co., Ltd.","星光實業有限公司","Organization","[""Manufacturer""]","established Hong Kong, 1949","1949年成立於香港","Not Applicable","Not Applicable",1949,,"Hong Kong","香港"
69,true,"Steven Holl Architects","斯蒂文·霍爾建築事務所","Steven Holl Architects","斯蒂文·霍爾建築事務所","Organization","[""Architectural Firm"",""Artist""]","established New York, 1976","1976年成立於紐約","Not Applicable","Not Applicable",1976,,"American","美國籍"
70,true,"Studio Pei-Zhu","朱錇建築設計事務所","Studio Pei-Zhu","朱錇建築設計事務所","Organization","[""Architectural Firm"",""Archive Creator"",""建築師事務所"",""建檔者""]","established Beijing, 2005","2005年成立於北京","Not Applicable","Not Applicable",2005,,"Chinese","中國籍"
74,true,"Taoho Design","何弢設計","Taoho Design","何弢設計","Organization","[""Artist"",""藝術家""]","established Hong Kong, 1968","1968年成立於香港","Not Applicable","Not Applicable",1968,,"Hong Kong","香港"
78,true,"Troika","Troika","Troika","Troika","Organization","[""Artist"",""藝術家""]","established London, 2003","2003年成立於倫敦","Not Applicable","Not Applicable",2003,,"British","英國籍"
80,true,"Urbanus","都市實踐","Urbanus","都市實踐","Organization","[""Architectural Firm""]","established Shenzhen, 1999","1999年成立於深圳","Not Applicable","Not Applicable",1999,,"Chinese","中國籍"
96,true,"Yangjiang Group","陽江組","Yangjiang Group","陽江組","Artist Collaborative","[""Artist"",""藝術家""]","established Yangjiang, 2002","2002年成立於陽江","Not Applicable","Not Applicable",2002,,"Chinese","中國籍"
97,true,"Ai Weiwei","艾未未","Ai Wei Wei","艾, 未未","Individual","[""Artist"",""藝術家""]","Chinese, born 1957","中國籍，生於1957年","Male","男性",1957,,"Chinese","中國籍"
98,true,"An Ge","安哥","An, Ge","安, 哥","Individual","[""Artist""]","Chinese, born 1947","中國籍，生於1947年","Male","男性",1947,,"Chinese","中國籍"
99,true,"An Hong","安宏","An, Hong","安, 宏","Individual","[""Artist""]","Chinese, born 1965","中國籍，生於1965年","Male","男性",1965,,"Chinese","中國籍"
100,true,"Ron Arad","羅恩·阿拉德","Arad, Ron","羅恩·阿拉德","Individual","[""Designer"",""設計師""]","British, born Israel, 1951","英國籍，1951年生於以色列","Male","男性",1951,,"Israeli","以色列籍"
101,true,"Au Hoi Lam","區凱琳","Au, Hoi Lam","區凱琳","Individual","[""Artist"",""藝術家""]","Hong Kong, born 1978","香港，生於1978年","Female","女性",1978,,"Hong Kong","香港"
102,true,"Iwan Baan","伊萬·巴恩","Baan, Iwan","伊萬·巴恩","Individual","[""Artist""]","Dutch, born 1975","荷蘭籍，生於1975年","Male","男性",1975,,"Dutch","荷蘭籍"
103,true,"Bai Yi Luo","白宜洛","Bai, Yi Luo","白, 宜洛","Individual","[""Artist""]","Chinese, born 1968","中國籍，生於1968年","Male","男性",1968,,"Chinese","中國籍"
106,true,"Candice Breitz","Candice Breitz","Breitz, Candice","Breitz, Candice","Individual","[""Artist"",""藝術家""]","South African, born 1972","南非籍，生於1972年","Female","女性",1972,,"South African","南非籍"
107,true,"Cai Jin","蔡錦","Cai, Jin","蔡, 錦","Individual","[""Artist""]","Chinese, born 1965","中國籍，生於1965年","Female","女性",1965,,"Chinese","中國籍"
108,true,"Cai Shangxiong","蔡尚雄","Cai, Shangxiong","蔡, 尚雄","Individual","[""Artist""]","Chinese, 1919–2014","中國籍，1919–2014年","Male","男性",1919,2014,"Chinese","中國籍"
109,true,"Cang Xin","蒼鑫","Cang, Xin","蒼, 鑫","Individual","[""Artist""]","Chinese, born 1967","中國籍，生於1967年","Male","男性",1967,,"Chinese","中國籍"
110,true,"Cao Fei","曹斐","Cao, Fei","曹, 斐","Individual","[""Artist"",""藝術家""]","Chinese, born 1978","中國籍，生於1978年","Female","女性",1978,,"Chinese","中國籍"
111,true,"Cao Jingping","曹靜萍","Cao, Jingping","曹, 靜萍","Individual","[""Artist""]","Chinese, born 1972","中國籍，生於1972年","Male","男性",1972,,"Chinese","中國籍"
114,true,"Henri Cartier-Bresson","亨利·卡蒂埃-布列松","Cartier-Bresson, Henri","亨利·卡蒂埃-布列松","Individual","[""Artist""]","French, 1908–2004","法國籍，1908–2004年","Male","男性",1908,2004,"French","法國籍"
116,true,"Gaylord Chan","陳餘生","Chan, Gaylord","陳餘生","Individual","[""Artist""]","Hong Kong, born 1925","香港，生於1925年","Male","男性",1925,,"Hong Kong","香港"
118,true,"Patty Chang","張怡","Chang, Patty","張, 怡","Individual","[""Artist"",""藝術家""]","American, born 1972","美國籍，生於1972年","Female","女性",1972,,"American","美國籍"
119,true,"Chang Qing","常青","Chang, Qing","常, 青","Individual","[""Artist""]","Chinese, born 1965","中國籍，生於1965年","Male","男性",1965,,"Chinese","中國籍"
120,true,"Chang Xugong","常徐功","Chang, Xugong","常, 徐功","Individual","[""Artist""]","Chinese, born 1956","中國籍，生於1956年","Male","男性",1956,,"Chinese","中國籍"
121,true,"Yung Ho Chang","張永和","Chang, Yung Ho","張永和","Individual","[""Designer"",""設計師""]","Chinese, born 1956","中國籍，生於1956年","Male","男性",1956,,"Chinese","中國籍"
122,true,"Chao Ziwei","鈔子偉","Chao, Ziwei","鈔, 子偉","Individual","[""Artist""]","Chinese, born 1970","中國籍，生於1970年","Male","男性",1970,,"Chinese","中國籍"
123,true,"Chao Ziyi","鈔子藝","Chao, Ziyi","鈔子藝","Individual","[""Artist""]","Chinese, born 1970","中國籍，生於1970年","Male","男性",1970,,"Chinese","中國籍"
124,true,"Chen Chieh-Jen","陳界仁","Chen, Chieh-Jen","陳, 界仁","Individual","[""Artist""]","Taiwanese, born 1960","台灣籍，生於1960年","Male","男性",1960,,"Taiwanese","台灣籍"
125,true,"Chen Fei","陳飛","Chen, Fei","陳, 飛","Individual","[""Artist""]","Chinese, born 1983","中國籍，生於1983年","Male","男性",1983,,"Chinese","中國籍"
126,true,"Tchan Fou-li","陳復禮","Tchan, Fou-li","陳復禮","Individual","[""Artist"",""藝術家""]","Hong Kong, born China. 1916–2018","香港，生於中國，1916–2018年","Male","男性",1916,2018,"Hong Kong","香港"
127,true,"Chen Guanghui","陳光輝","Chen, Guanghui","陳, 光輝","Individual","[""Artist""]","Chinese, born 1969","中國籍，生於1969年","Male","男性",1969,,"Chinese","中國籍"
128,true,"Chen Guangwu","陳光武","Chen, Guangwu","陳, 光武","Individual","[""Artist""]","Chinese, born 1967","中國籍，生於1967年","Male","男性",1967,,"Chinese","中國籍"
129,true,"Chen Hongzhu","陳虹竹","Chen, Hongzhu","陳, 虹竹","Individual","[""Artist""]","Chinese, born 1982","中國籍，生於1982年","Female","女性",1982,,"Chinese","中國籍"
131,true,"Chen Ke","陳可","Chen, Ke","陳, 可","Individual","[""Artist""]","Chinese, born 1978","中國籍，生於1978年","Female","女性",1978,,"Chinese","中國籍"
133,true,"Chen Lingyang","陳羚羊","Chen, Lingyang","陳, 羚羊","Individual","[""Artist""]","Chinese, born 1975","中國籍，生於1975年","Female","女性",1975,,"Chinese","中國籍"
137,true,"Chen Shaoxiong","陳劭雄","Chen, Shaoxiong","陳, 劭雄","Individual","[""Artist"",""藝術家""]","Chinese, 1962–2016","中國籍，1962–2016年","Male","男性",1962,2016,"Chinese","中國籍"
138,true,"Chen Wei","陳維","Chen, Wei","陳, 維","Individual","[""Artist""]","Chinese, born 1980","中國籍，生於1980年","Male","男性",1980,,"Chinese","中國籍"
139,true,"Chen Wenbo","陳文波","Chen, Wenbo","陳, 文波","Individual","[""Artist""]","Chinese, born 1969","中國籍，生於1969年","Male","男性",1969,,"Chinese","中國籍"
140,true,"Chen Xiaoyun","陳曉雲","Chen, Xiaoyun","陳, 曉雲","Individual","[""Artist""]","Chinese, born 1971","中國籍，生於1971年","Male","男性",1971,,"Chinese","中國籍"
142,true,"Chen Xuhai","陳旭海","Chen, Xuhai","陳, 旭海","Individual","[""Artist""]","Chinese, born 1973","中國籍，生於1973年","Male","男性",1973,,"Chinese","中國籍"
144,true,"Chen Yujun","陳彧君","Chen, Yujun","陳, 彧君","Individual","[""Artist"",""藝術家""]","Chinese, born 1976","中國籍，生於1976年","Male","男性",1976,,"Chinese","中國籍"
150,true,"Amy Cheung","張韻雯","Cheung, Amy","張韻雯","Individual","[""Artist"",""藝術家""]","Hong Kong","香港","Female","女性",,,"Hong Kong","香港"
151,true,"Chi Lei","池磊","Chi, Lei","池, 磊","Individual","[""Artist""]","Chinese, born 1981","中國籍，生於1981年","Male","男性",1981,,"Chinese","中國籍"
152,true,"Chi Peng","遲鵬","Chi, Peng","遲, 鵬","Individual","[""Artist""]","Chinese, born 1981","中國籍，生於1981年","Male","男性",1981,,"Chinese","中國籍"
153,true,"Heman Chong","張奕滿","Chong, Heman","張奕滿","Individual","[""Artist"",""藝術家""]","Singaporean, born Malaysia, 1977","新加坡籍，1977年生於馬來西亞","Male","男性",1977,,"Malaysian","馬來西亞籍"
154,true,"Irene Chou","周綠雲","Chou, Irene","周, 綠雲","Individual","[""Artist"",""藝術家""]","Hong Kong, born China. 1924–2011","香港，生於中國，1924–2011年","Female","女性",1924,2011,"Hong Kong","香港"
155,true,"Chu Hing Wah","朱興華","Chu, Hing Wah","朱, 興華","Individual","[""Artist"",""藝術家""]","Hong Kong, born 1935","香港，1935年生於中國","Male","男性",1935,,"Hong Kong","香港"
157,true,"Chuang Che","莊喆","Chuang, Che","莊喆","Individual","[""Artist""]","American, born China, 1934","美國籍，1934年生於中國","Male","男性",1934,,"American","美國籍"
159,true,"Cui Xiuwen","崔岫聞","Cui, Xiuwen","崔, 岫聞","Individual","[""Artist""]","Chinese, 1970–2018","中國籍，1970–2018年","Female","女性",1970,2018,"Chinese","中國籍"
160,true,"Dai Chenlian","戴陳連","Dai, Chenlian","戴, 陳連","Individual","[""Artist""]","Chinese, born 1982","中國籍，生於1982年","Male","男性",1982,,"Chinese","中國籍"
161,true,"Dai Guangyu","戴光鬱","Dai, Guangyu","戴, 光鬱","Individual","[""Artist""]","Chinese, born 1955","中國籍，生於1955年","Male","男性",1955,,"Chinese","中國籍"
164,true,"David Diao","刁德謙","Diao, David","刁, 德謙","Individual","[""Artist"",""藝術家""]","American, born China, 1943","美國籍，1943年生於中國","Male","男性",1943,,"American","美國籍"
165,true,"Diao Wei","刁偉","Diao, Wei","刁, 偉","Individual","[""Artist""]","Chinese, born 1979","中國籍，生於1979年","Male","男性",1979,,"Chinese","中國籍"
166,true,"Ding Yi","丁乙","Ding, Yi","丁, 乙","Individual","[""Artist""]","Chinese, born 1962","中國籍，生於1962年","Male","男性",1962,,"Chinese","中國籍"
167,true,"Dong Wensheng","董文勝","Dong, Wensheng","董, 文勝","Individual","[""Artist""]","Chinese, born 1970","中國籍，生於1970年","Male","男性",1970,,"Chinese","中國籍"
168,true,"Du Jie","杜婕","Du, Jie","杜, 婕","Individual","[""Artist""]","Chinese, born 1968","中國籍，生於1968年","Female","女性",1968,,"Chinese","中國籍"
169,true,"Du Xiuxian","杜修賢","Du, Xiuxian","杜, 修賢","Individual","[""Artist""]","Chinese, 1926–2014","中國籍，1926–2014年","Male","男性",1926,2014,"Chinese","中國籍"
170,true,"Du Yan","杜岩","Du, Yan","杜, 岩","Individual","[""Artist""]","Chinese, born 1977","中國籍，生於1977年","Male","男性",1977,,"Chinese","中國籍"
171,true,"Duan Jianyu","段建宇","Duan, Jianyu","段, 建宇","Individual","[""Artist"",""藝術家""]","Chinese, born 1970","中國籍，生於1970年","Female","女性",1970,,"Chinese","中國籍"
172,true,"Fang Lijun","方力鈞","Fang, Lijun","方, 力鈞","Individual","[""Artist""]","Chinese, born 1963","中國籍，生於1963年","Male","男性",1963,,"Chinese","中國籍"
173,true,"Feng Guodong","馮國棟","Feng, Guodong","馮, 國棟","Individual","[""Artist""]","Chinese, 1948–2005","中國籍，生於中國，1948–2005年","Male","男性",1948,2005,"Chinese","中國籍"
174,true,"Feng Jianguo","馮建國","Feng, Jianguo","馮, 建國","Individual","[""Artist""]","Chinese, born 1962","中國籍，生於1962年","Male","男性",1962,,"Chinese","中國籍"
175,true,"Feng Mengbo","馮夢波","Feng, Mengbo","馮, 夢波","Individual","[""Artist"",""藝術家""]","Chinese, born 1966","中國籍，生於1966年","Male","男性",1966,,"Chinese","中國籍"
177,true,"Feng Yan","封岩","Feng, Yan","封, 岩","Individual","[""Artist""]","Chinese, born 1964","中國籍，生於1964年","Male","男性",1964,,"Chinese","中國籍"
178,true,"Feng Zhengjie","俸正傑","Feng, Zhengjie","俸, 正傑","Individual","[""Artist""]","Chinese, born 1968","中國籍，生於1968年","Male","男性",1968,,"Chinese","中國籍"
179,true,"Fu Hong","傅弘","Fu, Hong","弘, 傅","Individual","[""Artist""]","Chinese, born 1946","中國籍，生於1946年","Male","男性",1946,,"Chinese","中國籍"
180,true,"Fu Jie","傅潔","Fu, Jie","傅, 潔","Individual","[""Artist"",""藝術家""]","Chinese, born 1971","中國籍，生於1971年","Female","女性",1971,,"Chinese","中國籍"
183,true,"Sou Fujimoto","藤本壯介","Fujimoto, Sou","藤本壯介","Individual","[""Architect""]","Japanese, born 1971","日本籍，生於1971年","Male","男性",1971,,"Japanese","日本籍"
184,true,"Brothers Gao","高氏兄弟","Gao, Brothers","高氏兄弟","Artist Collaborative","[""Artist""]","Chinese","1982年於中國成立","Not Applicable","Not Applicable",1956,,"Chinese","中國籍"
185,true,"Gao Mingyan","高銘研","Gao, Mingyan","高, 銘研","Individual","[""Artist""]","Chinese, born 1983","中國籍，生於1983年","Male","男性",1983,,"Chinese","中國籍"
186,true,"Geng Jianyi","耿建翌","Geng, Jianyi","耿, 建翌","Individual","[""Artist"",""藝術家""]","Chinese, 1962–2017","中國籍，1962–2017年","Male","男性",1962,2018,"Chinese","中國籍"
187,true,"Geng Xue","耿雪","Geng, Xue","耿, 雪","Individual","[""Artist"",""藝術家""]","Chinese, born 1983","中國籍，生於1983年","Female","女性",1983,,"Chinese","中國籍"
188,true,"Gong Jian","龔劍","Gong, Jian","龔, 劍","Individual","[""Artist""]","Chinese, born 1978","中國籍，生於1978年","Male","男性",1978,,"Chinese","中國籍"
189,true,"Antony Gormley","安東尼·葛姆雷","Gormley, Antony","安東尼·葛姆雷","Individual","[""Artist"",""藝術家""]","British, born 1950","英國籍，生於1950年","Male","男性",1950,,"British","英國籍"
192,true,"Gu Wenda","谷文達","Gu, Wenda","谷, 文達","Individual","[""Artist""]","Chinese, born 1955","中國籍，生於1955年","Male","男性",1955,,"Chinese","中國籍"
193,true,"Gu Xiaoping","顧小平","Gu, Xiaoping","顧, 小平","Individual","[""Artist""]","Chinese, born 1969","中國籍，生於1969年","Male","男性",1969,,"Chinese","中國籍"
194,true,"Guang Tingbo","廣廷渤","Guang, Tingbo","廣, 廷渤","Individual","[""Artist""]","Chinese, born 1938","中國籍，生於1938年","Male","男性",1938,,"Chinese","中國籍"
195,true,"Guo Gong","郭工","Guo, Gong","郭, 工","Individual","[""Artist""]","Chinese, born 1966","中國籍，生於1966年","Male","男性",1966,,"Chinese","中國籍"
196,true,"Guo Jin","郭晉","Guo, Jin","郭, 晉","Individual","[""Artist""]","Chinese, born 1964","中國籍，生於1964年","Male","男性",1964,,"Chinese","中國籍"
198,true,"Guo Wei","郭偉","Guo, Wei","郭, 偉","Individual","[""Artist""]","Chinese, born 1960","中國籍，生於1960年","Male","男性",1960,,"Chinese","中國籍"
199,true,"Andreas Gursky","安德烈亞斯·古爾斯基","Gursky, Andreas","安德烈亞斯·古爾斯基","Individual","[""Artist""]","German, born 1955","德國籍，生於1955年","Male","男性",1955,,"German","德國籍"
200,true,"Zaha Hadid","扎哈‧哈迪德","Hadid, Zaha","扎哈‧哈迪德","Individual","[""Artist"",""Designer""]","British, born Iraq. 1950–2016","英國籍，生於伊拉克，1950–2016年","Female","女性",1950,2016,"British","英國籍"
201,true,"Hai Bo","海波","Hai, Bo","海, 波","Individual","[""Artist""]","Chinese, born 1962","中國籍，生於1962年","Male","男性",1962,,"Chinese","中國籍"
202,true,"Han Lei","韓磊","Han, Lei","韓磊","Individual","[""Artist""]",,,"Male","男性",,,,
203,true,"Han Yajuan","韓婭娟","Han, Yajuan","韓, 婭娟","Individual","[""Artist""]","Chinese, born 1980","中國籍，生於1980年","Female","女性",1980,,"Chinese","中國籍"
204,true,"He An","河岸","He, An","河, 岸","Individual","[""Artist""]","Chinese, born 1971","中國籍，生於1971年","Male","男性",1971,,"Chinese","中國籍"
205,true,"He Jie","何杰","He, Jie","何, 杰","Individual","[""Artist""]","Chinese, born 1977","中國籍，生於1977年","Male","男性",1977,,"Chinese","中國籍"
206,true,"He Jinwei","何晉渭","He, Jinwei","何, 晉渭","Individual","[""Artist""]","Chinese, born 1967","中國籍，生於1967年","Male","男性",1967,,"Chinese","中國籍"
207,true,"He Sen","何森","He, Sen","何, 森","Individual","[""Artist""]","Chinese, born 1968","中國籍，生於1968年","Male","男性",1968,,"Chinese","中國籍"
208,true,"He Xiangyu","何翔宇","He, Xiangyu","何, 翔宇","Individual","[""Artist""]","Chinese, born 1968","中國籍，生於1968年","Male","男性",1968,,"Chinese","中國籍"
209,true,"He Yunchang","何雲昌","He, Yunchang","何, 雲昌","Individual","[""Artist""]","Chinese, born 1967","中國籍，生於1967年","Male","男性",1967,,"Chinese","中國籍"
211,true,"Ho Sin Tung","何倩彤","Ho, Sin Tung","何倩彤","Individual","[""Artist"",""藝術家""]","Hong Kong, born 1986","香港，生於1986年","Female","女性",1986,,"Hong Kong","香港"
213,true,"Tao Ho","何弢","Ho, Tao","何, 弢","Individual","[""Artist"",""Archive Creator"",""Architect"",""藝術家"",""建檔者"",""建築師""]","Hong Kong, born China, 1936","香港，1936年生於中國","Male","男性",1936,,"Hong Kong","香港"
214,true,"Hong Hao","洪浩","Hong, Hao","洪, 浩","Individual","[""Artist""]","Chinese, born 1965","中國籍，生於1965年","Male","男性",1965,,"Chinese","中國籍"
216,true,"Hong Lei","洪磊","Hong, Lei","洪, 磊","Individual","[""Artist""]","Chinese, born 1960","中國籍，生於1960年","Male","男性",1960,,"Chinese","中國籍"
217,true,"Hou Bo","候波","Hou, Bo","候, 波","Individual","[""Artist""]","Chinese, 1924–2017","中國籍，1924–2017年","Female","女性",1924,2017,"Chinese","中國籍"
218,true,"Tehching Hsieh","謝德慶","Hsieh, Tehching","謝, 德慶","Individual","[""Artist"",""藝術家""]","American, born Taiwan, 1950","美國籍，1950年生於台灣","Male","男性",1950,,"American","美國籍"
219,true,"Hu Liu","胡柳","Hu, Liu","胡, 柳","Individual","[""Artist""]","Chinese, born 1982","中國籍，生於1982年","Female","女性",1982,,"Chinese","中國籍"
220,true,"Hu Qingyan","胡慶雁","Hu, Qingyan","胡慶雁","Individual","[""Artist"",""藝術家""]","Chinese, born 1982","中國籍，生於1982年","Male","男性",1982,,"Chinese","中國籍"
222,true,"Hu Xiangqian","胡向前","Hu, Xiangqian","胡, 向前","Individual","[""Artist""]","Chinese, born 1983","中國籍，生於1983年","Male","男性",1983,,"Chinese","中國籍"
223,true,"Hu Xiaoyuan","胡曉媛","Hu, Xiaoyuan","胡, 曉媛","Individual","[""Artist""]","Chinese, born 1977","中國籍，生於1977年","Female","女性",1977,,"Chinese","中國籍"
226,true,"Huang Hairong","黃海蓉","Huang, Hairong","黃, 海蓉","Individual","[""Artist""]","Chinese, born 1974","中國籍，生於1974年","Female","女性",1974,,"Chinese","中國籍"
228,true,"Huang Rui","黃銳","Huang, Rui","黃, 銳","Individual","[""Artist"",""藝術家""]","Chinese, born 1952","中國籍，生於1952年","Male","男性",1952,,"Chinese","中國籍"
229,true,"Huang Yan","黃岩","Huang, Yan","黃, 岩","Individual","[""Artist""]","Chinese, born 1966","中國籍，生於1966年","Male","男性",1966,,"Chinese","中國籍"
230,true,"Huang Yong Ping","黄永砯‎","Huang, Yong Ping","黄, 永砯‎","Individual","[""Artist"",""藝術家""]","French, born China 1954","法國籍，1954年生於中國","Male","男性",1954,,"French","法國籍"
231,true,"Huang Zhigen","黃智根","Huang, Zhigen","黃, 智根","Individual","[""Artist""]","Chinese, born 1946","中國籍，生於1946年","Male","男性",1946,,"Chinese","中國籍"
232,true,"Christian Jankowski","克里斯坦·揚可夫斯基","Jankowski, Christian","克里斯坦·揚可夫斯基","Individual","[""Artist""]","German, born 1968","德國籍，生於1968年","Male","男性",1968,,"German","德國籍"
233,true,"Ji Dachun","季大純","Ji, Dachun","季, 大純","Individual","[""Artist""]","Chinese, born 1968","中國籍，生於1968年","Male","男性",1968,,"Chinese","中國籍"
235,true,"Ji Wenyu","計文於","Ji, Wenyu","計, 文於","Individual","[""Artist""]","Chinese, born 1959","中國籍，生於1959年","Male","男性",1959,,"Chinese","中國籍"
236,true,"Jiang Jian","姜健","Jiang, Jian","姜健","Individual","[""Artist"",""藝術家""]","Chinese, born 1953","中國籍，生於1953年","Male","男性",1953,,"Chinese","中國籍"
237,true,"Jiang Shaowu","蔣少武","Jiang, Shaowu","蔣, 少武","Individual","[""Artist"",""藝術家""]","Chinese, born 1932","中國籍，生於1932年","Male","男性",1932,,"Chinese","中國籍"
238,true,"Jiang Zhi","蔣志","Jiang, Zhi","蔣, 志","Individual","[""Artist"",""藝術家""]","Chinese, born 1971","中國籍，生於1971年","Male","男性",1971,,"Chinese","中國籍"
239,true,"Jin Feng","金峰","Jin, Feng","金, 峰","Individual","[""Artist"",""藝術家""]","Chinese, born 1962","中國籍，生於1962年","Male","男性",1962,,"Chinese","中國籍"
240,true,"Jin Jiangbo","金江波","Jin, Jiangbo","金, 江波","Individual","[""Artist"",""藝術家""]","Chinese, born 1972","中國籍，生於1972年","Male","男性",1972,,"Chinese","中國籍"
241,true,"Jing Kewen","景柯文","Jing, Kewen","景, 柯文","Individual","[""Artist""]","Chinese, born 1965","中國籍，生於1965年","Male","男性",1965,,"Chinese","中國籍"
244,true,"Kamekura Yusaku","龜倉雄策","Kamekura, Yusaku","龜倉雄策","Individual","[""Designer"",""設計師""]","Japanese, 1915–1997","日本籍，1915–1997年","Male","男性",1915,1997,"Japanese","日本籍"
245,true,"Kan Tai-keung","靳埭强","Kan, Tai-keung","靳埭强","Individual","[""Artist"",""藝術家""]","Hong Kong, born China, 1942","香港，1942年生於中國","Male","男性",1942,,"Hong Kong","香港"
246,true,"Kan Xuan","闞萱","Kan, Xuan","闞, 萱","Individual","[""Artist"",""藝術家""]","Chinese, born 1972","中國籍，生於1972年","Female","女性",1972,,"Chinese","中國籍"
248,true,"James H. Kinoshita","木下一","Kinoshita, James H.","木下一","Individual","[""Architect""]","Canadian, born 1933","加拿大籍，生於1933年","Male","男性",1933,,"Canadian","加拿大籍"
249,true,"Lee Kit","李傑","Lee, Kit","李, 傑","Individual","[""Artist"",""藝術家""]","Hong Kong, 1978 - 9999","香港，生於1978年","Male","男性",1978,,"Hong Kong","香港"
251,true,"Kuang Jun","匡峻","Kuang Jun","匡, 峻","Individual","[""Artist""]","Chinese, born 1978","中國籍，生於1978年","Male","男性",1978,,"Chinese","中國籍"
252,true,"Kuramata Shiro","倉俁史朗","Kuramata, Shiro","倉俁史朗","Individual","[""Subject"",""作品主體""]","Japanese, 1934–1991","日本籍，1934–1991年","Male","男性",1934,1991,"Japanese","日本籍"
