"id","sortNumber","publicAccess","objectNumber","area","areaTC","category","categoryTC","archivalLevel","archivalLevelTC","title","titleTC","displayDate","displayDateTC","beginDate","endDate","dimension","dimensionTC","dimensionElement","dimensionUnit","dimensionWidth","dimensionHeight","dimensionDepth","medium","mediumTC","creditLine","creditLineTC","constituents","constituentsRole","constituentsRoleTC","images","colorPredominant","color-gray","color-white","color-black","color-orange","color-brown","color-blue","color-green","color-yellow","color-teal","color-red","color-pink","color-purple"
90,"2012  1888",true,"2012.1888","Visual Art","視覺藝術","Photography","攝影",,,"Fishing at Sunrise","漁之光","circa 1950","約1950年",1948,1952,"sheet: 36.8 × 45.1 cm","紙本: 36.8 × 45.1 厘米","sheet","cm",45.1,36.8,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[487]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#817871"",""value"":53},{""color"":""#E0E0E6"",""value"":29.3},{""color"":""#C9C0B6"",""value"":7.6},{""color"":""#37312D"",""value"":2.9},{""color"":""#929296"",""value"":2.4}]",62.9,29.3,2.9,0,0,0,0,0,0,0,0,0
93,"2012  1891",true,"2012.1891","Visual Art","視覺藝術","Photography","攝影",,,"Vanity","浮華","1949","1949",1949,1949,"sheet: 47 × 36.8 cm","紙本: 47 × 36.8 厘米","sheet","cm",36.8,47,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[487]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#D0C2B2"",""value"":46.5},{""color"":""#887E72"",""value"":19.3},{""color"":""#E4E3E8"",""value"":16.1},{""color"":""#393530"",""value"":5.9},{""color"":""#312B21"",""value"":2.9},{""color"":""#E8E5E7"",""value"":2.7},{""color"":""#2A211C"",""value"":1.7}]",65.8,18.8,10.6,0,0,0,0,0,0,0,0,0
94,"2012  1892",true,"2012.1892","Visual Art","視覺藝術","Photography","攝影",,,"The 3 Kittens","小貓三隻","circa 1956","約1956年",1954,1958,"sheet: 40.6 × 37.5 cm","紙本: 40.6 × 37.5 厘米","sheet","cm",37.5,40.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[487]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#E1DFE4"",""value"":24.7},{""color"":""#C4B49F"",""value"":15.2},{""color"":""#363024"",""value"":14.2},{""color"":""#857A6D"",""value"":10.3},{""color"":""#2F2B26"",""value"":9.6},{""color"":""#7D6E59"",""value"":6.7},{""color"":""#E5E1E5"",""value"":5.8},{""color"":""#302620"",""value"":4.9},{""color"":""#BCA88A"",""value"":2},{""color"":""#725F50"",""value"":1.6}]",10.3,30.5,28.8,17.2,8.2,0,0,0,0,0,0,0
96,"2012  1894",true,"2012.1894","Visual Art","視覺藝術","Photography","攝影",,,"Classical Beauty","古典美","1948","1948",1948,1948,"sheet: 35.6 × 27.9 cm","紙本: 35.6 × 27.9 厘米","sheet","cm",27.9,35.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[487]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#35312D"",""value"":33.7},{""color"":""#80776D"",""value"":26.7},{""color"":""#E5E3E7"",""value"":21.2},{""color"":""#C6BFB6"",""value"":7.1},{""color"":""#E7E2E7"",""value"":4.5},{""color"":""#2F2920"",""value"":2.4}]",33.8,25.6,36.1,0,0,0,0,0,0,0,0,0
98,"2012  1896",true,"2012.1896","Visual Art","視覺藝術","Photography","攝影",,,"He Xiangning Painting","何香凝作畫","1957","1957",1957,1957,"sheet: 48.9 × 38.7 cm","紙本: 48.9 × 38.7 厘米","sheet","cm",38.7,48.9,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#1F1C1C"",""value"":32.1},{""color"":""#CDCBCB"",""value"":17.4},{""color"":""#817D7C"",""value"":16},{""color"":""#E2E2E5"",""value"":7.4},{""color"":""#201E22"",""value"":3.9},{""color"":""#130D0D"",""value"":3.8},{""color"":""#181724"",""value"":2.9},{""color"":""#CECECC"",""value"":2.8},{""color"":""#C7C4C6"",""value"":2.6},{""color"":""#8E8C8D"",""value"":2.5},{""color"":""#CED2D0"",""value"":1.6},{""color"":""#060101"",""value"":1},{""color"":""#818684"",""value"":0.9}]",22,29.2,43.7,0,0,0,0,0,0,0,0,0
100,"2012  1898",true,"2012.1898","Visual Art","視覺藝術","Photography","攝影",,,"A Storm is coming","山雨欲來","1940","1940",1940,1940,"sheet: 37.5 × 48.9 cm","紙本: 37.5 × 48.9 厘米","sheet","cm",48.9,37.5,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#878482"",""value"":28.8},{""color"":""#CFCDCB"",""value"":24.7},{""color"":""#3A3835"",""value"":13.1},{""color"":""#D1D1CC"",""value"":12.6},{""color"":""#111325"",""value"":5.2},{""color"":""#83837D"",""value"":4.8},{""color"":""#8D8A8C"",""value"":2.2},{""color"":""#0C0D08"",""value"":1.2},{""color"":""#16100E"",""value"":1.2},{""color"":""#BDBBBC"",""value"":0.9},{""color"":""#CFD3D1"",""value"":0.8}]",36.7,38,15.4,0,0,5.2,0,0,0,0,0,0
101,"2012  1899",true,"2012.1899","Visual Art","視覺藝術","Photography","攝影",,,"Moving Earth","卸土","1958","1958",1958,1958,"sheet: 47.6 × 38.7 cm","紙本: 47.6 × 38.7 厘米","sheet","cm",38.7,47.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#D8D7D7"",""value"":37.3},{""color"":""#E7E8E5"",""value"":21.6},{""color"":""#262525"",""value"":12.1},{""color"":""#858384"",""value"":10.5},{""color"":""#D0CECF"",""value"":4.7},{""color"":""#929091"",""value"":4.1},{""color"":""#2E2C2F"",""value"":3.1},{""color"":""#DEE3E0"",""value"":2.5}]",14.6,66.1,15.2,0,0,0,0,0,0,0,0,0
103,"2012  1901",true,"2012.1901","Visual Art","視覺藝術","Photography","攝影",,,"Banana Harvest","香蕉豐收","1955","1955",1955,1955,"sheet: 49.5 × 39.4 cm","紙本: 49.5 × 39.4 厘米","sheet","cm",39.4,49.5,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#342F2C"",""value"":30.6},{""color"":""#79726F"",""value"":22.9},{""color"":""#D8D3D1"",""value"":17.3},{""color"":""#211817"",""value"":8.7},{""color"":""#E8E8E4"",""value"":5.7},{""color"":""#221F24"",""value"":2.6},{""color"":""#1E202E"",""value"":2.5},{""color"":""#7E7F79"",""value"":1.8},{""color"":""#CFCDCE"",""value"":1.5},{""color"":""#1E1B14"",""value"":1.5}]",24.6,24.4,46,0,0,0,0,0,0,0,0,0
104,"2012  1902",true,"2012.1902","Visual Art","視覺藝術","Photography","攝影",,,"First Snow","喜見初雪","1956","1956",1956,1956,"sheet: 47 × 38.7 cm","紙本: 47 × 38.7 厘米","sheet","cm",38.7,47,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#34302F"",""value"":23.2},{""color"":""#7F7B7A"",""value"":21.4},{""color"":""#D3D0CF"",""value"":19.2},{""color"":""#E2E2E0"",""value"":12.1},{""color"":""#262428"",""value"":5.1},{""color"":""#D1CECF"",""value"":4.2},{""color"":""#8B898A"",""value"":3.1},{""color"":""#D7DBD9"",""value"":3.1},{""color"":""#1D1D2B"",""value"":2.6},{""color"":""#1F1517"",""value"":1.8}]",24.4,38.5,32.6,0,0,0,0,0,0,0,0,0
105,"2012  1903",true,"2012.1903","Visual Art","視覺藝術","Photography","攝影",,,"Longmen Buddhist Grottoes","龍門石佛","1959","1959",1959,1959,"sheet: 48.3 × 37.5 cm","紙本: 48.3 × 37.5 厘米","sheet","cm",37.5,48.3,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#272525"",""value"":43.2},{""color"":""#807C7A"",""value"":16.9},{""color"":""#C4C1BF"",""value"":11.1},{""color"":""#CACAC6"",""value"":9.5},{""color"":""#282628"",""value"":7.2},{""color"":""#232625"",""value"":2},{""color"":""#8A8B85"",""value"":2},{""color"":""#191212"",""value"":1.6},{""color"":""#828081"",""value"":1.4},{""color"":""#C0C4C2"",""value"":1.3}]",42.3,0,54,0,0,0,0,0,0,0,0,0
106,"2012  1904",true,"2012.1904","Visual Art","視覺藝術","Photography","攝影",,,"On the Jialing (Yangzi) River","嘉陵江上","1957","1957",1957,1957,"sheet: 48.9 × 36.8 cm","紙本: 48.9 × 36.8 厘米","sheet","cm",36.8,48.9,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#CACACA"",""value"":42.7},{""color"":""#8C8A8A"",""value"":19.6},{""color"":""#322E2F"",""value"":10.6},{""color"":""#D2D2CF"",""value"":8.9},{""color"":""#CBC9CA"",""value"":5.3},{""color"":""#888687"",""value"":4.4},{""color"":""#2B292D"",""value"":3.9}]",72,8.9,14.5,0,0,0,0,0,0,0,0,0
107,"2012  1905",true,"2012.1905","Visual Art","視覺藝術","Photography","攝影",,,"Junk Boat","漁船","1951","1951",1951,1951,"sheet: 38.7 × 48.9 cm","紙本: 38.7 × 48.9 厘米","sheet","cm",48.9,38.7,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#86817D"",""value"":47.1},{""color"":""#3B3734"",""value"":30.5},{""color"":""#BFBAB7"",""value"":6.9},{""color"":""#9B9B96"",""value"":4.9},{""color"":""#B9B9B5"",""value"":4},{""color"":""#211817"",""value"":1.9}]",62.9,0,32.4,0,0,0,0,0,0,0,0,0
108,"2012  1906",true,"2012.1906","Visual Art","視覺藝術","Photography","攝影",,,"Bashu terraces","巴蜀梯田","1957","1957",1957,1957,"sheet: 35.6 × 49.5 cm","紙本: 35.6 × 49.5 厘米","sheet","cm",49.5,35.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#7C7778"",""value"":20.2},{""color"":""#363132"",""value"":19.4},{""color"":""#D5D1D0"",""value"":17.8},{""color"":""#DADAD7"",""value"":13.6},{""color"":""#D2D7D5"",""value"":6.4},{""color"":""#312F32"",""value"":4.9},{""color"":""#807D7F"",""value"":4.2},{""color"":""#7B807E"",""value"":3.7},{""color"":""#303433"",""value"":2.8},{""color"":""#CFCCCD"",""value"":2.7}]",28.1,40.5,27.1,0,0,0,0,0,0,0,0,0
109,"2012  1907",true,"2012.1907","Visual Art","視覺藝術","Photography","攝影",,,"Crossing","待渡","1948","1948",1948,1948,"sheet: 40.6 × 50.2 cm","紙本: 40.6 × 50.2 厘米","sheet","cm",50.2,40.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#7E7A7B"",""value"":34.4},{""color"":""#302C2D"",""value"":28},{""color"":""#BBBABA"",""value"":14.9},{""color"":""#8B888A"",""value"":8},{""color"":""#BDBDBA"",""value"":3.5},{""color"":""#2A282A"",""value"":2.4},{""color"":""#D1D7D4"",""value"":1.8},{""color"":""#191113"",""value"":1.7},{""color"":""#C8C6C7"",""value"":1.5}]",62.3,1.8,32.1,0,0,0,0,0,0,0,0,0
110,"2012  1908",true,"2012.1908","Visual Art","視覺藝術","Photography","攝影",,,"Fishermen","捕魚人兒","1941","1941",1941,1941,"sheet: 49.5 × 38.7 cm","紙本: 49.5 × 38.7 厘米","sheet","cm",38.7,49.5,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#C9C6C5"",""value"":38.6},{""color"":""#918F8F"",""value"":17.7},{""color"":""#CCCBC7"",""value"":10.4},{""color"":""#363339"",""value"":10.1},{""color"":""#C3C0C2"",""value"":6.4},{""color"":""#8F8B8E"",""value"":5.7},{""color"":""#3E3C3C"",""value"":3.9},{""color"":""#7B797E"",""value"":2.1},{""color"":""#9D9D99"",""value"":1.9}]",72.5,10.4,14,0,0,0,0,0,0,0,0,0
111,"2012  1909",true,"2012.1909","Visual Art","視覺藝術","Photography","攝影",,,"Jialing (Yangzi) River in Spring","春泛嘉陵江","1957","1957",1957,1957,"sheet: 38.1 × 48.3 cm","紙本: 38.1 × 48.3 厘米","sheet","cm",48.3,38.1,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#CDCCCB"",""value"":65},{""color"":""#D1D1CC"",""value"":9},{""color"":""#C3C2C7"",""value"":8.3},{""color"":""#8C8786"",""value"":3.8},{""color"":""#CDCACC"",""value"":2.5},{""color"":""#CBCFCC"",""value"":2.5},{""color"":""#363231"",""value"":1.5},{""color"":""#858488"",""value"":1.1},{""color"":""#2F2C31"",""value"":1},{""color"":""#858184"",""value"":0.9}]",16.6,76.5,2.5,0,0,0,0,0,0,0,0,0
112,"2012  1910",true,"2012.1910","Visual Art","視覺藝術","Photography","攝影",,,"Mt Danxia, Shaoguan, Guangdong","丹霞疊峄","1948","1948",1948,1948,"sheet: 50.8 × 40.6 cm","紙本: 50.8 × 40.6 厘米","sheet","cm",40.6,50.8,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#2E2A29"",""value"":39.7},{""color"":""#7A7673"",""value"":19.9},{""color"":""#E1DEDD"",""value"":18.8},{""color"":""#100B0C"",""value"":9.1},{""color"":""#E4E4E0"",""value"":4.9},{""color"":""#CDCBCC"",""value"":2.6},{""color"":""#1F1C1E"",""value"":1.6}]",19.9,26.3,50.4,0,0,0,0,0,0,0,0,0
113,"2012  1911",true,"2012.1911","Visual Art","視覺藝術","Photography","攝影",,,"Clean","圓潤淨潔","1948","1948",1948,1948,"sheet: 39.4 × 48.9 cm","紙本: 39.4 × 48.9 厘米","sheet","cm",48.9,39.4,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#EAE9E9"",""value"":85.2},{""color"":""#D7D5D6"",""value"":8.7},{""color"":""#E0E0DD"",""value"":2.9}]",0,96.9,0,0,0,0,0,0,0,0,0,0
114,"2012  1912",true,"2012.1912","Visual Art","視覺藝術","Photography","攝影",,,"Hard Life","飽歷風霜","1940","1940",1940,1940,"sheet: 48.9 × 38.7 cm","紙本: 48.9 × 38.7 厘米","sheet","cm",38.7,48.9,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#373737"",""value"":33.7},{""color"":""#807F7F"",""value"":30.7},{""color"":""#C3C1C1"",""value"":7.6},{""color"":""#706F74"",""value"":7},{""color"":""#8A8889"",""value"":6.9},{""color"":""#413F43"",""value"":5.6},{""color"":""#CCCBC8"",""value"":3.4},{""color"":""#BBB9BA"",""value"":2.2}]",54.4,3.4,39.3,0,0,0,0,0,0,0,0,0
115,"2012  1913",true,"2012.1913","Visual Art","視覺藝術","Photography","攝影",,,"Eaves","飛檐","1956","1956",1956,1956,"sheet: 47.6 × 36.8 cm","紙本: 47.6 × 36.8 厘米","sheet","cm",36.8,47.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#76706E"",""value"":30},{""color"":""#252323"",""value"":27.5},{""color"":""#76757A"",""value"":14.3},{""color"":""#777377"",""value"":13.1},{""color"":""#29272A"",""value"":7.6},{""color"":""#CFC9C9"",""value"":1.9},{""color"":""#242726"",""value"":1.6}]",59.3,0,36.8,0,0,0,0,0,0,0,0,0
117,"2012  1915",true,"2012.1915","Visual Art","視覺藝術","Photography","攝影",,,"Building Site in the Morning","工地上的早晨","1958","1958",1958,1958,"sheet: 49.5 × 38.7 cm","紙本: 49.5 × 38.7 厘米","sheet","cm",38.7,49.5,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#2F2C2C"",""value"":26.8},{""color"":""#7F7B7B"",""value"":21.8},{""color"":""#CBC8C5"",""value"":20.1},{""color"":""#CFCFCB"",""value"":7.8},{""color"":""#2B292C"",""value"":7.2},{""color"":""#858384"",""value"":6},{""color"":""#C0BEBF"",""value"":2},{""color"":""#1A1B2B"",""value"":1.8},{""color"":""#2A2D2B"",""value"":1.4},{""color"":""#1C1314"",""value"":1.3}]",49.9,7.8,38.5,0,0,0,0,0,0,0,0,0
118,"2012  1916",true,"2012.1916","Visual Art","視覺藝術","Photography","攝影",,,"West Lake","西湖白堤","1956","1956",1956,1956,"sheet: 40.6 × 50.8 cm","紙本: 40.6 × 50.8 厘米","sheet","cm",50.8,40.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#E4E3E3"",""value"":46.8},{""color"":""#EDEDEF"",""value"":24.3},{""color"":""#D9D7D8"",""value"":14},{""color"":""#787375"",""value"":6.3},{""color"":""#433E3F"",""value"":3.9}]",6.3,85.2,3.9,0,0,0,0,0,0,0,0,0
120,"2012  1918",true,"2012.1918","Visual Art","視覺藝術","Photography","攝影",,,"Three Gorges","千里江陵一日還","1957","1957",1957,1957,"sheet: 48.3 × 38.1 cm","紙本: 48.3 × 38.1 厘米","sheet","cm",38.1,48.3,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#DADADA"",""value"":34.4},{""color"":""#7A7878"",""value"":26.9},{""color"":""#2D2B2B"",""value"":25.9},{""color"":""#E2E2DF"",""value"":5},{""color"":""#7E7C7D"",""value"":2.5},{""color"":""#2F2D2F"",""value"":2.1}]",29.4,39.4,28,0,0,0,0,0,0,0,0,0
122,"2012  1920",true,"2012.1920","Visual Art","視覺藝術","Photography","攝影",,,"Yungang Buddhist Grottoes","雲崗石窟之大佛","1959","1959",1959,1959,"sheet: 44.5 × 38.7 cm","紙本: 44.5 × 38.7 厘米","sheet","cm",38.7,44.5,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#332F2D"",""value"":49.5},{""color"":""#716C6A"",""value"":20.5},{""color"":""#D0CECD"",""value"":11.8},{""color"":""#D0CECF"",""value"":5.3},{""color"":""#1A1413"",""value"":4.6},{""color"":""#282528"",""value"":1.9},{""color"":""#C7C7C4"",""value"":1.2},{""color"":""#D0D3D2"",""value"":1}]",21.6,18.2,56,0,0,0,0,0,0,0,0,0
123,"2012  1921",true,"2012.1921","Visual Art","視覺藝術","Photography","攝影",,,"Mt Heng (Hunan) at Dawn","衡山初曉之二","1948","1948",1948,1948,"sheet: 38.7 × 48.9 cm","紙本: 38.7 × 48.9 厘米","sheet","cm",48.9,38.7,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#767676"",""value"":31.4},{""color"":""#D9D9D6"",""value"":24.9},{""color"":""#3E3D3D"",""value"":23.5},{""color"":""#C2C2C1"",""value"":12.5},{""color"":""#3F3E41"",""value"":2.2},{""color"":""#787677"",""value"":1.7}]",45.7,24.9,25.6,0,0,0,0,0,0,0,0,0
124,"2012  1922",true,"2012.1922","Visual Art","視覺藝術","Photography","攝影",,,"Early morning at Yuexiu Mountain","越秀山的早晨","1948","1948",1948,1948,"sheet: 48.9 × 33 cm","紙本: 48.9 × 33 厘米","sheet","cm",33,48.9,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#D0CFCE"",""value"":41.4},{""color"":""#D3D3D0"",""value"":16.2},{""color"":""#908E8E"",""value"":14.1},{""color"":""#2D2A2A"",""value"":5.1},{""color"":""#D0D5D2"",""value"":4.6},{""color"":""#D2CFD1"",""value"":3.9},{""color"":""#29272A"",""value"":3.7},{""color"":""#1E1F2F"",""value"":2.1},{""color"":""#222625"",""value"":1.7},{""color"":""#858184"",""value"":1.6},{""color"":""#838986"",""value"":1.3}]",17,66.2,12.5,0,0,0,0,0,0,0,0,0
125,"2012  1923",true,"2012.1923","Visual Art","視覺藝術","Photography","攝影",,,"River Li, Guangxi","灕江鑼鼓灘","1954","1954",1954,1954,"sheet: 38.7 × 48.9 cm","紙本: 38.7 × 48.9 厘米","sheet","cm",48.9,38.7,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#D4D3D2"",""value"":52.8},{""color"":""#DEDEDB"",""value"":17.9},{""color"":""#969494"",""value"":17.7},{""color"":""#949193"",""value"":5.2},{""color"":""#D2D0D1"",""value"":2.3}]",22.9,73,0,0,0,0,0,0,0,0,0,0
126,"2012  1924",true,"2012.1924","Visual Art","視覺藝術","Photography","攝影",,,"Pearl River","珠江","1953","1953",1953,1953,"sheet: 40.6 × 50.8 cm","紙本: 40.6 × 50.8 厘米","sheet","cm",50.8,40.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#8F8381"",""value"":49.1},{""color"":""#BFB6B4"",""value"":35.7},{""color"":""#443B37"",""value"":6.9},{""color"":""#302420"",""value"":4.3}]",84.8,0,11.2,0,0,0,0,0,0,0,0,0
127,"2012  1925",true,"2012.1925","Visual Art","視覺藝術","Photography","攝影",,,"Dragonboats","賽龍舟","1955","1955",1955,1955,"sheet: 48.9 × 35.6 cm","紙本: 48.9 × 35.6 厘米","sheet","cm",35.6,48.9,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#CFCFCE"",""value"":31.1},{""color"":""#868483"",""value"":19.9},{""color"":""#D2D3CE"",""value"":15.7},{""color"":""#2A2828"",""value"":15.1},{""color"":""#8C8B87"",""value"":4.8},{""color"":""#2C292B"",""value"":2.8},{""color"":""#D3D7D5"",""value"":2.4},{""color"":""#827F81"",""value"":1.7},{""color"":""#282B2A"",""value"":1.7}]",26.5,49.2,19.6,0,0,0,0,0,0,0,0,0
128,"2012  1926",true,"2012.1926","Visual Art","視覺藝術","Photography","攝影",,,"Linggu Temple Road, Nanjing","靈谷寺道","1956","1956",1956,1956,"sheet: 48.9 × 33 cm","紙本: 48.9 × 33 厘米","sheet","cm",33,48.9,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[]","[]","[]","[]","[{""color"":""#2B2929"",""value"":42.8},{""color"":""#797573"",""value"":26.7},{""color"":""#2A282B"",""value"":9.2},{""color"":""#D4D4CF"",""value"":6.3},{""color"":""#C7C3BF"",""value"":5.8},{""color"":""#858681"",""value"":2.2},{""color"":""#817E80"",""value"":1.9}]",36.7,6.3,52,0,0,0,0,0,0,0,0,0
